Cinsiyet,Şirket Konumu,Çalışma Durumu,Çalışma Şekli,Çalışan Sayısı,Deneyim,Sektör,Pozisyon,Pozisyonunuzun Ismi?.1,Aylık Net Maaş (TL),"Yıllık Ek Gelir (Prim, Bonus)",Yan Haklar
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,7-9 Yıl,Eğitim,Ogretmen ,Ogretmen ,31.000-40.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Satış Uzmanı,Satış Uzmanı,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu, Şirket Aracı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Diğer,Fakülde İdari Asistanı (Üniversite),Fakülde İdari Asistanı (Üniversite),21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Erkek,Türkiye,Tam zamanlı,Hybrid,100-149,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Mobil Uygulama Geliştiricisi,Mobil Uygulama Geliştiricisi,51.000-60.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Data Scientist,Data Scientist,81.000-90.000 TL,91.000-110.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,9-12 Yıl,Mühendislik,Is guvenligi sefi,Is Guvenligi Sefi,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,12 ve ustu,Tekstil ve Hazır Giyim,Bütçe ve raporlama uzmanı,Bütçe Ve Raporlama Uzmanı,31.000-40.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Perakende ve E-tıcaret,Product designer ,Product Designer ,31.000-40.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,0-1 Yıl,Otomotiv,Satış Uzmanı,Satış Uzmanı,41.000-50.000 TL,31.000-50.000 TL,"Özel Sağlık Sigortası, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Sağlık ve Tıp,Moleküler Biyolog,Moleküler Biyolog,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Erkek,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Üretim,Customer experience specialst,Customer Experience Specialst,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,150-199,0-1 Yıl,Tekstil ve Hazır Giyim,Endüstri mühendisi ,Endüstri Mühendisi ,21.000-30.000 TL,Ek gelirim yok,Ulaşım Yardımı
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Perakende ve E-tıcaret,E ticaret ve reklam uzmanı ,E Ticaret Ve Reklam Uzmanı ,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılım geliştirici,Yazılım Geliştirici,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Hybrid,150-199,7-9 Yıl,Diğer,Product Team Lead,Product Team Lead,91.000-100.000 TL,111.000-150.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Erkek,Türkiye,Tam zamanlı,Ofiste,150-199,1-3 Yıl,Gıda ve İçecek,Satış ve Pazarlama,Satış Ve Pazarlama,21.000-30.000 TL,Ek gelirim yok,"Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Diğer,Lojistik Uzmanı,Lojistik Uzmanı,31.000-40.000 TL,150.000 TL ve üstü,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Diğer,Psikolog,Psikolog,10.000-20.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,3-5 Yıl,Havacılık,Digital Marketing Specialist,Digital Marketing Specialist,61.000-70.000 TL,Ek gelirim yok,Özel Sağlık Sigortası
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Eğitim,Matematik Öğretmeni,Matematik Öğretmeni,41.000-50.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Veri bilimci ,Veri Bilimci ,31.000-40.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Mühendislik,biyomedikal mühendisliği,Biyomedikal Mühendisliği,10.000-20.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Üretim,Proje ve teklif mühendisliği,Proje Ve Teklif Mühendisliği,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,12 ve ustu,Otomotiv,muhasebe sorumlusu,Muhasebe Sorumlusu,31.000-40.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Finans ve Muhasebe,İnsan Kaynakları Yönetici Yardımcısı,İnsan Kaynakları Yönetici Yardımcısı,31.000-40.000 TL,150.000 TL ve üstü,Şirket Telefonu
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Üretim,Üretim Planlama Mühendisi,Üretim Planlama Mühendisi,21.000-30.000 TL,Ek gelirim yok,Şirket Telefonu
Kadın,Türkiye,Tam zamanlı,Ofiste,150-199,0-1 Yıl,Mühendislik,Elektrik elektronik bakım mühendisi,Elektrik Elektronik Bakım Mühendisi,21.000-30.000 TL,Ek gelirim yok,Özel Sağlık Sigortası
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Mühendislik,C Sınıfı İş Güvenliği Uzmanı,C Sınıfı İş Güvenliği Uzmanı,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Erkek,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Full Stack Developer,Full Stack Developer,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Hybrid,50-99,1-3 Yıl,Dijital Medya ve Eğlence,Sr.Performance Marketing Executive,Sr.Performance Marketing Executive,41.000-50.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Mühendislik,İnşaat mühendisi ,İnşaat Mühendisi ,41.000-50.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,5-7 Yıl,Dağıtım ve Toptan Tıcaret,Dış Ticaret Uzmanı,Dış Ticaret Uzmanı,31.000-40.000 TL,111.000-150.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,5-7 Yıl,Bilgi Teknolojileri ve Yazılım,Satış ve İş Geliştirme Uzmanı,Satış Ve İş Geliştirme Uzmanı,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Dijital Medya ve Eğlence,Planlama ve Satin alma,Planlama Ve Satin Alma,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Finans ve Muhasebe,Vergi Denetçisi,Vergi Denetçisi,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Gıda ve İçecek,Şube Yöneticisi ,Şube Yöneticisi ,31.000-40.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,5-7 Yıl,Otomotiv,Purchasing Specialist,Purchasing Specialist,41.000-50.000 TL,Ek gelirim yok,Ulaşım Yardımı
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Diğer,İhale Yönetimi Uzman Yardımcısı,İhale Yönetimi Uzman Yardımcısı,21.000-30.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Erkek,Türkiye,Tam zamanlı,Hybrid,150-199,1-3 Yıl,Finans ve Muhasebe,CRM&Analitik Uzmanı,Crm&Analitik Uzmanı,51.000-60.000 TL,51.000-70.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,3-5 Yıl,Üretim,İNSAN KAYNAKLARI UZMANI,İnsan Kaynaklari Uzmani,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Görsel Tasarım Uzmanı,Görsel Tasarım Uzmanı,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Finans ve Muhasebe,Crm marketing specialist,Crm Marketing Specialist,31.000-40.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Erkek,Türkiye,Tam zamanlı,Ofiste,1-49,5-7 Yıl,Tekstil ve Hazır Giyim,Branş Manager,Branş Manager,31.000-40.000 TL,111.000-150.000 TL,"Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Dağıtım ve Toptan Tıcaret,operasyon uzman yardımcısı,Operasyon Uzman Yardımcısı,10.000-20.000 TL,20.000-30.000 TL,"Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,İç Denetim Uzmanı,İç Denetim Uzmanı,51.000-60.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,1-3 Yıl,Diğer,Muhasebe Elemanı,Muhasebe Elemanı,10.000-20.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Erkek,Türkiye,Tam zamanlı,Uzaktan,100-149,1-3 Yıl,Dijital Medya ve Eğlence,art direktör,Art Direktör,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Sağlık ve Tıp,İş geliştirme uzmanı ,İş Geliştirme Uzmanı ,41.000-50.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Mühendislik,Çevre Mühendisliği ,Çevre Mühendisliği ,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,5-7 Yıl,Üretim,Müşteri yöneticisi,Müşteri Yöneticisi,51.000-60.000 TL,150.000 TL ve üstü,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu, Şirket Aracı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Turizm ve Konaklama,Sağlık turizmi satış ,Sağlık Turizmi Satış ,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Otomotiv,Kalite mühendisi ,Kalite Mühendisi ,10.000-20.000 TL,Ek gelirim yok,Özel Sağlık Sigortası
Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,0-1 Yıl,Finans ve Muhasebe,Data Analyst,Data Analyst,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Yurt dışı,Tam zamanlı,Uzaktan,150-199,5-7 Yıl,Dijital Medya ve Eğlence,Marketing manager,Marketing Manager,61.000-70.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Dijital Medya ve Eğlence,Marka Temsilcisi,Marka Temsilcisi,21.000-30.000 TL,20.000-30.000 TL,Ulaşım Yardımı
Kadın,Türkiye,Tam zamanlı,Uzaktan,150-199,9-12 Yıl,Otomotiv,Ürün Müdürü,Ürün Müdürü,81.000-90.000 TL,71.000-90.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Aracı"
Kadın,Türkiye,Yarı zamanlı,Ofiste,150-199,1-3 Yıl,Eğitim,Stajyer Öğrenci,Stajyer Öğrenci,10.000-20.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Gıda ve İçecek,Müşteri hizmetleri uzmanı ,Müşteri Hizmetleri Uzmanı ,51.000-60.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,50-99,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Business Analyst,Business Analyst,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Dijital Medya ve Eğlence,Dijital Medya Sorumlusu,Dijital Medya Sorumlusu,21.000-30.000 TL,Ek gelirim yok,Ulaşım Yardımı
Erkek,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,İnşaat,Mimar,Mimar,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Diğer,Consultant ,Consultant ,51.000-60.000 TL,51.000-70.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Üretim,Endüstri Mühendisi,Endüstri Mühendisi,21.000-30.000 TL,51.000-70.000 TL,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Perakende ve E-tıcaret,Sosyal medya yöneticisi ,Sosyal Medya Yöneticisi ,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Mühendislik,İnşaat mühendisi ,İnşaat Mühendisi ,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Yurt dışı,Tam zamanlı,Uzaktan,1-49,3-5 Yıl,Diğer,Digital marketing director ,Digital Marketing Director ,101.000-120.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Uzaktan,50-99,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Product Manager,Product Manager,61.000-70.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,1-3 Yıl,Tekstil ve Hazır Giyim,İhacat müsteri temsilcisi,İhacat Müsteri Temsilcisi,10.000-20.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Hybrid,100-149,0-1 Yıl,Sağlık ve Tıp,Reprezant,Reprezant,31.000-40.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu, Şirket Aracı"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Sağlık ve Tıp,Veteriner teknikeri,Veteriner Teknikeri,21.000-30.000 TL,20.000-30.000 TL,Ulaşım Yardımı
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Perakende ve E-tıcaret,İş geliştirme uzman yardımcısı,İş Geliştirme Uzman Yardımcısı,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılım uzman yardımcısı ,Yazılım Uzman Yardımcısı ,31.000-40.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Çevre ve Enerji,Satış Yöneticisi,Satış Yöneticisi,21.000-30.000 TL,Ek gelirim yok,Şirket Telefonu
Kadın,Türkiye,Yarı zamanlı,Uzaktan,1-49,9-12 Yıl,Tekstil ve Hazır Giyim,stil ve renk uzmanı,Stil Ve Renk Uzmanı,51.000-60.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Hybrid,50-99,3-5 Yıl,Dijital Medya ve Eğlence,Graphic Designer,Graphic Designer,41.000-50.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,İş Analisti,İş Analisti,31.000-40.000 TL,111.000-150.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Sağlık ve Tıp,Diyetisyen,Diyetisyen,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Yurt dışı,Yarı zamanlı,Hybrid,50-99,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Media,Media,10.000-20.000 TL,Ek gelirim yok,Özel Sağlık Sigortası
Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılan test uzmanı,Yazılan Test Uzmanı,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Mühendislik,İnşaat mühendisi ,İnşaat Mühendisi ,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Eğitim,Uzman satış danışmanı,Uzman Satış Danışmanı,21.000-30.000 TL,51.000-70.000 TL,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Üretim,Muhasebe,Muhasebe,10.000-20.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Yarı zamanlı,Uzaktan,1-49,1-3 Yıl,Dijital Medya ve Eğlence,Content Creator,Content Creator,10.000-20.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,iOS Developer,Ios Developer,51.000-60.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,7-9 Yıl,Eğitim,Matematik öğretmeni ,Matematik Öğretmeni ,41.000-50.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Mühendislik,Peyzaj mimarı ,Peyzaj Mimarı ,10.000-20.000 TL,Ek gelirim yok,Özel Sağlık Sigortası
Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,3-5 Yıl,Diğer,Sosyal Medya Uzmanı,Sosyal Medya Uzmanı,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,3-5 Yıl,Otomotiv,İdari İşler uzmanı ,İdari İşler Uzmanı ,41.000-50.000 TL,150.000 TL ve üstü,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Finans ve Muhasebe,Uyum Yönetmeni,Uyum Yönetmeni,61.000-70.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Mühendislik,Biyomedikal mühendisi,Biyomedikal Mühendisi,31.000-40.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Mühendislik,Ziraat Mühendisi ,Ziraat Mühendisi ,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Telekomünikasyon,İnsan kaynakları uzman yardımcısı ,İnsan Kaynakları Uzman Yardımcısı ,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,3-5 Yıl,Mühendislik,Satın Alma Uzmanı,Satın Alma Uzmanı,31.000-40.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,İnşaat,Üretim mühendisi,Üretim Mühendisi,51.000-60.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Finans ve Muhasebe,Associate Finansal planlama müdürü,Associate Finansal Planlama Müdürü,41.000-50.000 TL,71.000-90.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,3-5 Yıl,Otomotiv,Marka ve Kurumsal İletişim,Marka Ve Kurumsal İletişim,21.000-30.000 TL,31.000-50.000 TL,"Özel Sağlık Sigortası, Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,5-7 Yıl,İnşaat,Mimar,Mimar,51.000-60.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Yarı zamanlı,Ofiste,1-49,0-1 Yıl,Diğer,Diş hekimi asistanı ,Diş Hekimi Asistanı ,10.000-20.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Sağlık ve Tıp,CRM Specialist,Crm Specialist,41.000-50.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Ulaşım Yardımı, Şirket Telefonu"
Kadın,Yurt dışı,Yarı zamanlı,Ofiste,1-49,3-5 Yıl,Eğitim,Araştırma görevlisi ,Araştırma Görevlisi ,10.000-20.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Hybrid,150-199,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Dara analyst,Dara Analyst,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Turizm ve Konaklama,Dijital pazarlama uzmanı,Dijital Pazarlama Uzmanı,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
